Data_ID,User_ID,Gender,Age,MBTI,Q_number,Answer
25,1,1,30,INFP,25,"<Yes> It is fun to be able to think from different points of view. However, I do not like to assert myself with an extreme way of thinking."
26,1,1,30,INFP,26,"<Yes>  Inside I have a desire to attract attention, but I try not to attract attention because my own energy is low and I am tired of relating to others."
27,1,1,30,INFP,27,"<Yes>  Emotions can quickly shift from pole to pole. Even if you eat delicious food and feel great, but when you hear an unpleasant sound, you go down to the floor."
28,1,1,30,INFP,28,"<Yes>  It's not annoying if you accept it when you say it's more efficient this way, but if you don't accept it and just push your own thoughts for no particular reason, you get annoyed. I was annoyed that he kept telling me that he had to buy much more expensive meat when there was cheaper meat somewhere else where he lived."
29,1,1,30,INFP,29,"<Yes>  often think about what I have to do and end up rushing it at the end. Recently, I was contemplating whether or not to include my resume, but in the end I didn't."
30,1,1,30,INFP,30,"<Yes>  Interesting. I hope there will be nothing after I die, but there are people who say they see ghosts, and the afterlife that differs from culture to culture is interesting."
31,1,1,30,INFP,31,"<no> Because I lack my own energy, spending time with other people is mentally and physically difficult, so I prefer to spend time alone. It's better to be alone these days"
32,1,1,30,INFP,32,"<Yes>  Theories can change as much as they like, and in the past, the Nobel Prize was awarded as a great discovery."
33,1,1,30,INFP,33,"<Yes>  am good at empathy, so when others talk about themselves, I sympathize with their feelings. When my friends talk about something bad, my heart is very heavy."
34,1,1,30,INFP,34,"<Yes>  When I have to make a decision, I tend to procrastinate as much as possible to make the best decision because I think about various variables and their consequences."
35,1,1,30,INFP,35,"<no>  I make a decision with as much thought as possible, but because I make a decision in a hurry after being hesitant until the end, I tend to think again because there are many times I regret it."
36,1,1,30,INFP,36,<no>  Better to spend some time alone. I don't go out these days because fatigue builds up when I go out.
37,1,1,30,INFP,37,"<Yes>  I like going to art galleries because I like beautiful things. If there is a work of art on the road, I tend to take a look at it to some extent."
38,1,1,30,INFP,38,"<no> When I listen to the story, I don't often find it hard to understand my emotions because I think that this is how I felt."
39,1,1,30,INFP,39,"<no>  I plan a lot, but I don't like doing it every day. I need a rough plan at work, but I make it simply in my head, not in detail, and I don't make it every day in my personal work."
40,1,1,30,INFP,40,"<no> There are many times when I feel insecure. I wonder if I can live like this, and I have anxiety about old age and health. Being bullied for a long time seems to have been the trigger for my confidence in myself to decrease."
41,1,1,30,INFP,41,"<Yes>  I'm not good at speaking, so I want to avoid making mistakes. Because it takes less time to think than text."
42,1,1,30,INFP,42,"<Yes>  don't spend a lot of time on it, but I do try. As for opinions that are too different, I may be missing something, so I ask why after thinking about it. I have taken the time to understand when my political views differ."
43,1,1,30,INFP,43,"<no>  Most of the time, if a friend asks to meet first, they go. I usually don't make contact first."
44,1,1,30,INFP,44,"<Yes> If there is a setback, I try to make only that part different and go back to the original plan. When I went on a recent trip, the restaurant I wanted to go to disappeared, so I ate somewhere else and acted as originally planned."
45,1,1,30,INFP,45,"<Yes>  It's a mistake that was made a long time ago, and I often regret it even though I can't change it anymore. There was a time when I only slept for two weeks after the college entrance exam, but at that time, I lost a lot of muscles and my body was very weak, so I still haven't recovered."
46,1,1,30,INFP,46,<Yes> Human existence is harming nature and we are just living without thinking more deeply to live because we have not found a reason to live.
47,1,1,30,INFP,47,"<Yes>  I tend to be swayed. If you're not in a good mood, things don't get out of hand and there's a lot of tea. People around me think the same"
48,1,1,30,INFP,48,"<neutrality>  I don't try to save face, but I tend to go over quietly. I don't want to hurt your feelings"
61,2,1,40,ESTJ,1,<neutrality> I'm not trying to make it on purpose. I like things that come naturally as I live.
62,2,1,40,ESTJ,2,"<Yes>  I have a lot of really diverse interests. These days, I learned to ride a bike for my health, so I got to know and bought a variety of bikes."
63,2,1,40,ESTJ,3,"<Yes>  Tears flow when I see other people crying. The reason is that they seem to empathize well, so I think they are equally sad."
64,2,1,40,ESTJ,4,"<Yes>  always have a workaround ready in case something goes wrong. Otherwise, I feel anxious and it is a habit since I was young."
65,2,1,40,ESTJ,5,"<no>  I try to keep my composure, but it doesn't work. Not long ago, while working on a computer, an error occurred and I was pressed for time, but I was in a hurry."
66,2,1,40,ESTJ,6,"<no>  I prefer to say hello first. I don't like situations where we hesitate, so it's more comfortable to say hello and talk first."
67,2,1,40,ESTJ,7,"<Yes>  I tend to get one thing done. It gets complicated when I have a lot of things going on, so I complete them one by one."
68,2,1,40,ESTJ,8,"<neutrality>  I am very down-to-earth when I talk to people. But when I'm alone in my thoughts, sometimes I get sentimental."
69,2,1,40,ESTJ,9,<Yes>  I'm planning everything. I am using and recording my planner on my phone.
70,2,1,40,ESTJ,10,"<neutrality>  Even two or three years ago, when I made a mistake, I doubted my abilities. Now I think that anyone can make a mistake, probably because I am trying to relax a little bit."
71,2,1,40,ESTJ,11,"<neutrality>  At first, it can be difficult depending on the seat. You might think I'm a weirdo. It can be difficult at first, but once you start talking, it's okay."
72,2,1,40,ESTJ,12,"<no>  I like to talk. In particular, since each individual interprets a work of art so differently, I want to hear other people's interpretations as well."
73,2,1,40,ESTJ,13,"<Yes>  I am very rational. When I follow my emotions, there are times when I have regrets, so I try to leave it to reason. I think people around me see me that way too."
74,2,1,40,ESTJ,14,"<no> I'm planning anything. Especially when you go on a trip, you have to plan rather than improvise to reduce time waste and feel regretful."
75,2,1,40,ESTJ,15,"<neutrality>  Sometimes I worry about what other people will think of me. It's not my own way to live, it's a society where I live together."
76,2,1,40,ESTJ,16,"<neutrality>  I like group activities. I like to travel with my family and friends, but I can't meet often due to the special situation called Corona."
77,2,1,40,ESTJ,17,"<neutrality>  For me, when the ending is ambiguous, it feels unfinished. I have to present the ending to some extent so that I can interpret it even a little, but I don't want an ending that is too absurd."
78,2,1,40,ESTJ,18,"<Yes>  My own success is important to me, but when I refer to my family as others, I think of my family first. It's important to see my success, but I'm more happy when I see my family's success."
79,2,1,40,ESTJ,19,"<Yes>  I have a lot of interests. I also recently started riding a bike and making crafts, but there are so many things I want to do that I have so many interests that if I don't make a plan, I'll mess up."
80,2,1,40,ESTJ,20,<neutrality>  I get worried when I start something. It's because I've had experience when it went wrong before.
81,2,1,40,ESTJ,21,"<no> I've had a lot of leadership roles since I was young. I don't like situations where we avoid each other, so I just step in and do it."
82,2,1,40,ESTJ,22,"<no>  I am talented in the arts in many ways. In fact, my major is also a major in arts and physical education."
83,2,1,40,ESTJ,23,"<no>  If you only value reason, the balance will be broken. No matter what happens, I believe that the world will be a better place when emotion and reason are in balance."
84,2,1,40,ESTJ,24,"<Yes> If I have work to do, I do it first. If housework is left over, I feel uncomfortable, so I can't rest even if I rest."
85,2,1,40,ESTJ,25,"<no>  I hate arguing situations. No matter what happens, I want a compromise, not an argument."
86,2,1,40,ESTJ,26,"<no>  I don't mind getting other people's attention and looking at me. Even if many people look at me, I am not ashamed at all."
87,2,1,40,ESTJ,27,"<Yes>  have emotional ups and downs. When I'm angry, I can't hide my feelings, and when I think about it again, there are times when I regret it."
88,2,1,40,ESTJ,28,"<Yes>  I like to use my time, money and stuff efficiently. I get angry when my family doesn't."
89,2,1,40,ESTJ,29,"<no>  I'm prioritizing what needs to be done. Even recently, if I have multiple tasks, I feel comfortable when I finish them first."
90,2,1,40,ESTJ,30,"<no>  am not interested in the afterlife. I'm not interested in the afterlife, which I haven't experienced or remembered anyway."
91,2,1,40,ESTJ,31,"<neutrality>  I want to be alone sometimes. I've been busy living for a while, so I want to have a quiet time alone."
92,2,1,40,ESTJ,32,"<neutrality>  I think it depends on your interests. It's interesting if I'm interested, but really boring if I'm not."
93,2,1,40,ESTJ,33,"<Yes>  easily empathize with other people's backgrounds. Everyone lives a different life, so I sympathize with various backgrounds."
94,2,1,40,ESTJ,34,"<no>  I tend to make decisions quickly. Unless it's something that will change over time, I'm making a quick decision."
95,2,1,40,ESTJ,35,"<neutrality>  There are times when I rethink about the decisions I made. I tend to make decisions quickly, so there are times when I think about whether I made a good decision. Especially when it comes to choosing clothes."
96,2,1,40,ESTJ,36,<Yes> I'm not interested in my free time at home. The fatigue of the week is relieved through outdoor exercise or family events.
97,2,1,40,ESTJ,37,"<Yes>  I like various art activities. Going to art galleries, especially going to musicals, makes me feel a lot better."
98,2,1,40,ESTJ,38,"<neutrality>  I have a hard time understanding other emotions. It's not often, but sometimes it's not a big deal, but there are times when I wonder why."
99,2,1,40,ESTJ,39,"<Yes>  like to plan. Even if I can't achieve everything I've planned, I like to make plans for a month in advance and plan my daily routine in detail."
100,2,1,40,ESTJ,40,<no>  I also often feel insecure. I think my innate tendency is to worry a lot and have anxiety about the future.
101,2,1,40,ESTJ,41,<Yes>  I prefer to meet rather than talk on the phone. Talking on the phone can lead to misunderstandings and I don't like long conversations.
102,2,1,40,ESTJ,42,"<no>  I'm trying to understand other opinions. But rather than understanding for a long time, I feel more comfortable giving up on things I don¡¯t understand."
103,2,1,40,ESTJ,43,"<neutrality>  I'm different depending on the situation. Rather than a friend talking first or me asking to meet first, the story of meeting naturally comes out."
104,2,1,40,ESTJ,44,"<no> It will depend on the plan, but rather than putting the plan into practice again, I will invest time to achieve other plans."
105,2,1,40,ESTJ,45,"<Yes>  I think of things I regret a long time ago. I regret not working hard for myself and my parents when I was younger, and I try not to make the same mistake in the present."
106,2,1,40,ESTJ,46,"<Yes>  I don't think deeply about the reason for living. Human existence and life flow naturally, and I think everyone is the same."
107,2,1,40,ESTJ,47,"<Yes>  I often lose in battles with emotions. There are times when I get angry because I can't control myself, but people around me will see me similarly, even though I'm not hot-tempered."
108,2,1,40,ESTJ,48,<neutrality>  I think you should be aware of the other person's mistakes. But I don't like it when the other person is intimidated or sad because of my mistake.
121,3,0,40,ISTP,1,<no>  Don't try to be friendly first unless it's absolutely necessary. Making friends also seems to require a lot of attention. I don't want to get closer Making friends also seems to require a lot of attention.
122,3,0,40,ISTP,2,"<no>  I spend my free time on a side job or playing mobile games, and these days I am interested in how to make money."
123,3,0,40,ISTP,3,<no>  don't think there will be emotional agitation in a situation where you don't know what kind of relationship you have with other people. I don't feel anything when I see her crying.
124,3,0,40,ISTP,4,"<Yes>  No matter what, I feel relieved when there are many things rather than when there is no countermeasure or only one, so I try to do that."
125,3,0,40,ISTP,5,"<neutrality>  It's difficult to maintain composure when the pressure is disturbing, and I try to keep my thoughts, but it doesn't seem to work. I have no memory of recent experiences."
126,3,0,40,ISTP,6,"<Yes> If I go to a party or event, I think I'll mostly talk to people I know. I feel uncomfortable hanging out with people I don't know."
127,3,0,40,ISTP,7,"<neutrality>  I don't like to do many things at once, but when I'm in a hurry, I can't focus on one thing and seem to focus on things that I think are busy."
128,3,0,40,ISTP,8,"<no>  When I hear an idea or story that seems very realistic and is not realistic, I want to refute it and feel that it is a wrong idea."
129,3,0,40,ISTP,9,"<neutrality>  I try to plan like that, but in reality I'm not very good at it. I am using a mobile diary and a real paper diary."
130,3,0,40,ISTP,10,"<Yes>  The older I get, the more I feel intimidated by the smallest mistakes. Things that used to be easy are now difficult. The same goes for helping children with their homework."
131,3,0,40,ISTP,11,"<no> It's true that I want to talk to someone I'm interested in, but I think it's difficult to have a conversation easily. They have no common interests and lack the sociability to talk to strangers."
132,3,0,40,ISTP,12,"<Yes>  They rarely come into contact with art works, and they do not have much interest and interest in art."
133,3,0,40,ISTP,13,"<Yes>  Try to follow reason rather than emotion. Even in the light of my actual experience, I remember that the results of following rationality were slightly better than emotions."
134,3,0,40,ISTP,14,"<Yes>  As much as possible, I try to work as planned and try to do it, and I think it would be nice if that was the case, but in reality, there are many cases where I see people doing things spontaneously."
135,3,0,40,ISTP,15,"<neutrality>  I don't care much about other people's eyes when I'm in a relationship with someone I don't know, but in a close relationship, I'm somewhat concerned. There are a lot of things to bump into, but I don't think it's good if it's uncomfortable."
136,3,0,40,ISTP,16,"<no>  Group activities are not free, so I do not enjoy participating. Fees are rare, but I think of group activities when I am bored or lonely because I am alone."
137,3,0,40,ISTP,17,"<no>  I don't like so-called open endings. Even if I think it's a good ending, I don't like being suspicious that it's not actually the case."
138,3,0,40,ISTP,18,"<no> It's rewarding to help others succeed, but honestly, I think it's only natural that I care more about my own success."
139,3,0,40,ISTP,19,"<no>  It's not that I don't have a lot of interests, but I don't think I've ever been so cluttered that I didn't know what to do. Not even recently."
140,3,0,40,ISTP,20,"<Yes>  I don't worry too much about small things, but if something goes wrong, I feel like I can't handle it."
141,3,0,40,ISTP,21,"<Yes>  Taking on the role of a leader means that there are more things to worry about and more stress, so it is right to avoid it as much as possible."
142,3,0,40,ISTP,22,"<Yes>  I feel that I have little artistic inclination. I don't think I've ever felt any interest or talent in music, art, or anything else related to the arts."
143,3,0,40,ISTP,23,<Yes>  vaguely think that the world would have been a better place if reason had been valued. I think there were better results when I acted rationally.
144,3,0,40,ISTP,24,<Yes>  I want to finish chores or chores before taking a break. I don't want to worry about what I have to do while taking a break.
145,3,0,40,ISTP,25,"<neutrality>  I guess it depends on what the subject of the debate is. If it matches my interests, I think I might enjoy it. otherwise it would be the other way around."
146,3,0,40,ISTP,26,<Yes>  I don't think I'll bother to draw attention or attention unless I'm a person I like. I don't really like meeting new people.
147,3,0,40,ISTP,27,<no>  I don't feel that my emotions change quickly. It seems to be rare unless it is an accident of someone close to you.
148,3,0,40,ISTP,28,"<Yes> When I meet someone similar to me, I feel dislike for the illusion of seeing myself. So I guess I'll be annoyed."
149,3,0,40,ISTP,29,"<neutrality>  I have a habit of procrastinating things, but it seems not always. It seems to be a little different depending on the seriousness of the work. There are things that I procrastinate these days, but it seems that I am doing what I have to do in an appropriate line."
150,3,0,40,ISTP,30,"<no>  Personally, I am not very interested in the idea that there is no religion and there is no afterlife."
151,3,0,40,ISTP,31,<neutrality>  I feel that I need time alone and I need time to spend with others. These days seem to be the season when I want to spend more time with others.
152,3,0,40,ISTP,32,<Yes>  I think it will not be interesting in advance because of the stereotype that there is nothing new about theory-centered or principled stories. I feel like I'm hearing a pre-determined answer.
153,3,0,40,ISTP,33,"<no>  don't think it's easy to sympathize with the idea that if your background is completely different from yours, your thinking will be different."
154,3,0,40,ISTP,34,"<Yes>  I'm not the type to make decisions easily, and I seem to procrastinate more when it comes to decisions about things I don't know exactly."
155,3,0,40,ISTP,35,"<neutrality>  It seems different from case to case. Easy decisions are easy to change, but difficult decisions are unlikely to be rethought."
156,3,0,40,ISTP,36,"<no>  prefer to spend time alone. A fun party would be nice, but I think it's time to spend time alone to rest a tired body."
157,3,0,40,ISTP,37,"<no>  I don't have much interest in art, so I don't prefer to go to those places. Appreciating works of art is not a concern."
158,3,0,40,ISTP,38,"<Yes>  I can sympathize with others if I think about it, but I don't think it's easy to do that. There are times when my position conflicts, so I tend to think of my position first."
159,3,0,40,ISTP,39,"<Yes>  Rather than planning to do it every day, I try to write down or remember things to do because I am worried that I might be missing something to do."
160,3,0,40,ISTP,40,"<neutrality>  There are times when I feel anxious, but I don't think I've felt it recently. Anxiety is what I feel when something I can't control happens, so I try to prevent it in advance if possible."
161,3,0,40,ISTP,41,"<neutrality>  There is not much to avoid everyday calls with friends or close people, but there seem to be many calls to avoid, such as calls to government offices, call centers, or spam calls due to civil complaints."
162,3,0,40,ISTP,42,"<no>  I don't think I'll spend a lot of time trying to understand if I don't have to. However, it will be the opposite if it is with someone who is important to me."
163,3,0,40,ISTP,43,"<no> I'm not the type to contact my friends to meet them first. If a friend contacts you first, do not refuse."
164,3,0,40,ISTP,44,"<neutrality>  If there is a setback in the plan, it seems that there are many cases in which the plan is modified depending on the degree of trying to return to the plan."
165,3,0,40,ISTP,45,"<Yes>  I don't know if there are many times when I regret the mistakes I made a long time ago, but there are cases where I regret it. Especially if you are currently suffering losses due to that mistake."
166,3,0,40,ISTP,46,"<Yes>  The reason for human existence and life is a difficult problem, and right now, solving the realistic problem in front of me is my top priority, so I tend not to think deeply about it."
167,3,0,40,ISTP,47,"<neutrality>  I don't think I'm the type to be swayed by emotions, and people around me seem to give me similar evaluations."
168,3,0,40,ISTP,48,"<neutrality>  It's different depending on the case, but if it doesn't hurt me, I think it's okay to build up the other person's side."
181,4,1,40,INFJ,1,<no>  I prefer old friends to new ones. My best friend still meets the friend I met in kindergarten when I was 5 years old.
182,4,1,40,INFJ,2,"<Yes>  Politics, TV content. I am interested in dating programs, etc. Other than that, I am very interested in our children."
183,4,1,40,INFJ,3,"<Yes>  When I see someone else crying, I don't know why, but tears just come out and I almost cry with them."
184,4,1,40,INFJ,4,"<Yes>  Even when I'm looking for directions, I take a screenshot in advance in case the navigation on my phone doesn't work."
185,4,1,40,INFJ,5,"<Yes>  The work I do is very labor-intensive, so people often curse at me while I work, but I tend to keep my composure well while listening to music and imagining pleasant things."
186,4,1,40,INFJ,6,"<Yes>  can talk to someone new without hesitation, but I don't want to be friendly with them."
187,4,1,40,INFJ,7,<Yes>  I prefer to finish one neatly and start a new one rather than trying to do several things at once.
188,4,1,40,INFJ,8,"<Yes>  I have a lot of tears and enjoy sentimental imaginations such as reading books, listening to music, and watching movies."
189,4,1,40,INFJ,9,<Yes>  also record what's in the refrigerator and plan my diet using a memo app on my phone. All schedules are also memoized on electronic tools.
190,4,1,40,INFJ,10,<Yes>  I have many sleepless days even for a small slip of the tongue. I always dwell on other people's mistakes just as much as my own.
191,4,1,40,INFJ,11,"<neutrality>  I seem to be pretending to be indifferent to those who are interested. However, it is easy to talk to people who are not interested."
192,4,1,40,INFJ,12,"<Yes>  I enjoy discussing works of art. When I watch a movie, I look at how others have seen it, and I also tend to leave reviews."
193,4,1,40,INFJ,13,"<Yes>  I tend to follow reason. I like logical things, and I don't want to easily act on things that cannot be logically explained."
194,4,1,40,INFJ,14,"<no> When I go on an impromptu trip, I always regret it, and I don't enjoy spontaneous meetings very much."
195,4,1,40,INFJ,15,"<neutrality>  I care about how others see me. However, I tend to worry more about the inner things than the outer ones."
196,4,1,40,INFJ,16,"<neutrality>  enjoy it, but I worry about it. For example, I like group tours. Since I value compliance and courtesy to others, I strictly abide by the rules and promises set by the organization. However, there is also a great fear of not keeping it."
197,4,1,40,INFJ,17,"<Yes>  I tend to enjoy my own interpretation of the ending. I enjoyed watching a movie called Romance, but I don't conclude that this movie is a sexual minority relationship, but interpret it broadly with many different ways of dating."
198,4,1,40,INFJ,18,"<neutrality>  I am more satisfied with my success than the success of others. It's because I want to be the main character rather than the role of a manager helping others. However, I think family problems are an exception."
199,4,1,40,INFJ,19,<no>  You tend to fall more deeply into one interest rather than multiple interests.
200,4,1,40,INFJ,20,"<Yes>  am often worried. I tend to worry a lot and keep thinking about things that are important to me, fearing that something important will go wrong or go wrong."
201,4,1,40,INFJ,21,"<Yes>  I tend to avoid leadership roles. I'm a little worried about getting attention, and I don't enjoy being focused on a lot of responsibility and various perspectives."
202,4,1,40,INFJ,22,"<no>  Normally, I am sentimental, I like to think about things while appreciating works of art."
203,4,1,40,INFJ,23,"<Yes>  tend to think that if people acted calmly and rationally without putting their feelings first, war would not have happened."
204,4,1,40,INFJ,24,"<neutrality>  I always promise and want to finish my chores before I go to rest, but when I'm tired, I lie down."
205,4,1,40,INFJ,25,"<Yes>  I like to watch TV discussions, and I like to take sides while watching and murmuring to myself."
206,4,1,40,INFJ,26,<no> I'm not particularly careful about getting other people's attention. I am humorous enough that I prefer to have the people at the table next to me listen to me.
207,4,1,40,INFJ,27,"<Yes>  Emotions change very quickly. There are times when I get angry momentarily, but within 5 minutes I forget why I was angry."
208,4,1,40,INFJ,28,"<Yes>  I get annoyed with people who can't work. I can't stand my juniors who can't handle things better than me, and I tend to nag them."
209,4,1,40,INFJ,29,"<Yes>  There are times when I procrastinate. Recently, there was a time when I had to wash the dishes because I didn't have a spoon to use after putting it off until the end."
210,4,1,40,INFJ,30,"<neutrality>  I'm not very interested in the question of the afterlife, but I try to separate garbage every day and live rightly to go to heaven after death."
211,4,1,40,INFJ,31,<no> Spending time alone is much better. The time to meet other people or drink doesn't give me a break.
212,4,1,40,INFJ,32,"<neutrality>  It is true that real-life stories are more interesting than original stories, but I do not feel bored about the discussion itself."
213,4,1,40,INFJ,33,"<Yes>  don't think I'm good at empathy, but others tell me I'm good at empathy. I'm the type of person who is good at putting in the words of others and reacting appropriately, but I don't know if it's because I'm good at empathizing."
214,4,1,40,INFJ,34,"<Yes>  I have indecisiveness, so when I buy clothes, I go around the department store five times. Even choosing food takes a long time."
215,4,1,40,INFJ,35,"<no>  I tend to think again, so I sometimes change my mind about things I bought and cancel them again."
216,4,1,40,INFJ,36,"<no>  prefer to spend time alone, so a fun party or event is close to work for me."
217,4,1,40,INFJ,37,<Yes>  I love art museums so much that I go to them three or four times a year even though I am busy.
218,4,1,40,INFJ,38,"<no>  It's easy to understand other people's feelings. Even when I watch a broadcast, I easily fall into it even though I know that it is a situation created by the writer and PD."
219,4,1,40,INFJ,39,"<Yes>  plan my life. When I travel, I plan by the minute. Even when you are working, you need to make sure you have a clear schedule so that you feel comfortable."
220,4,1,40,INFJ,40,"<Yes>  I often feel insecure. When I meet people, I often bite my nails as if I feel timid and anxious in the middle of having fun. I think it's an innate tendency."
221,4,1,40,INFJ,41,<no>  I have no intention of avoiding phone calls. He is good at talking on the phone and is confident.
222,4,1,40,INFJ,42,"<neutrality>  If there is an opinion that is very different from mine, I would like to hear it because it is interesting, but I do not think it will change my stubbornness and thoughts."
223,4,1,40,INFJ,43,"<no>  Meetings with friends usually seem to lead the meeting. However, I tend to attend regular fellowship meetings without missing them."
224,4,1,40,INFJ,44,"<Yes>  I don't like to mess with my plans. So if there is a setback, I try to fix it quickly and get back to the plan. There's something I've decided to finish by today, but if a friend comes to visit, I'll spend time fixing the plan right after the friend leaves."
225,4,1,40,INFJ,45,"<Yes>  He has the personality of kicking evil without forgetting his mistakes from long ago. Until now, chicken skin has sprouted all over my body because of embarrassing thoughts that come to mind once in a while, and I tend to look for mouse holes. There was a time when I was seriously offended by a joke made by a friend, and I regret it very much."
226,4,1,40,INFJ,46,"<no>  tend to think a lot about human existence and the reason for living. I like to study people, and I tend to think deeply about people's lives."
227,4,1,40,INFJ,47,"<Yes>  I tend to put a lot of effort into controlling my emotions, but since my emotions are dynamic, I sometimes find myself being swayed."
228,4,1,40,INFJ,48,"<neutrality> When the other party's fault is obvious, if the other person admits their mistake 100%, we try to make the other person feel better and make the atmosphere better. However, when the other person is not aware of or does not admit their fault, they try to let them know, even by giving them a face."
241,5,1,40,ISTJ,1,"<no>  I don't make new friends on a regular basis. The reason is that the older you get, the greater your fear of meeting new people."
242,5,1,40,ISTJ,2,"<Yes> I've been interested in Kang Tae-oh, the male lead in 'The Strange Lawyer Woo Young-woo', which I enjoyed these days, so I often look for the actor's Instagram or materials."
243,5,1,40,ISTJ,3,"<no>  In general, in situations like this, rather than wanting to cry together, I think first of all, 'Why is that person crying?' I don't think I feel unconditionally sad."
244,5,1,40,ISTJ,4,"<Yes>  I tend to make multiple preparations for one thing. For example, if you plan to go out and go to a restaurant today, there is a possibility that you will not be able to go to that restaurant, so you look for one or two more restaurants. It's because I think there are variables in everything, and I don't like to be confused when variables arise."
245,5,1,40,ISTJ,5,"<Yes>  think I tend to keep my composure. Not too long ago, I went on a trip alone with my children and my mother. Because it was a free trip, there was pressure to make plans alone and to return safely and safely. In addition to traveling safely, I thought a lot about being responsible for the joy of my family. However, as I traveled, there were so many things that went wrong with what I had planned. However, when I tried to solve the problem without panic or impatient, it seemed to be solved. So I was able to finish the trip safely."
246,5,1,40,ISTJ,6,<Yes>  tend to talk to people I already know. The reason is that it is difficult to reach new people.
247,5,1,40,ISTJ,7,"<Yes>  tend to finish one project and start another. Some time ago, I was going to buy a computer and some furniture, but I didn't order both at once. First, I researched computers, decided and ordered a computer to buy, and then I researched furniture and ordered furniture. The reason is because I think that focusing on one thing will bring better results than trying to find out both at the same time. I tried to focus on just one thing because I think you need to know the product well before buying it in order to be satisfied later."
248,5,1,40,ISTJ,8,"<no>  am not a sentimental person. It's because when you listen to a song, you don't pay attention to the lyrics at all and you don't feel sad when you listen to sad music."
249,5,1,40,ISTJ,9,"<no>  I like to make plans, but I don't use a diary or something to make a schedule or list."
250,5,1,40,ISTJ,10,"<no> There are times when the food that you eat delicious every day tastes different or tasteless one day. That said, rather than thinking that I can't cook, I think it was because I didn't cook properly that day."
